Date,VIXY_ret,VIXY_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-11-21,-0.0074239066330946,0.0438774445660892,0,0.9999998536794799,1.4632049854082348e-07,1.4632049854082348e-07,1.0,0.018220716871189754
2024-11-22,-0.0419581218694806,0.042938144927805,0,0.9999999014062317,9.859374094087157e-08,9.859374094087157e-08,0.9999999507031295,-0.003652056232991645
2024-11-25,-0.0357100503961116,0.0425126119323273,0,0.99999991281209,8.718796130262595e-08,8.718796130262595e-08,0.9999999564060194,-0.0033767705164838456
2024-11-26,-0.0104083459916985,0.0425049633942238,0,0.9999998996613663,1.0033865995100704e-07,1.0033865995100704e-07,0.99999994983067,-0.012570293338292845
2024-11-27,-0.0044273317360163,0.0418501489241858,0,0.9999999068155646,9.318443742473254e-08,9.318443742473254e-08,0.9999999534077813,-0.019985551325280324
2024-11-29,-0.0195737413654781,0.0364254299243856,0,0.9999999780670807,2.1932864976627954e-08,2.1932864976627954e-08,0.9999999890335676,-0.022415518271757022
2024-12-02,-0.0009530835690225,0.0365636361222068,0,0.9999999712459844,2.8753988862978945e-08,2.8753988862978945e-08,0.9999999856230055,-0.014214510611665407
2024-12-03,-0.0117493661746417,0.0358526198842829,0,0.9999999791707526,2.0829293334651377e-08,2.0829293334651377e-08,0.9999999895853533,-0.009422373767371425
2024-12-04,0.0060118013335757,0.0347090285578997,0,0.9999999781747422,2.182526279818063e-08,2.182526279818063e-08,0.9999999890873685,-0.006138344302316585
2024-12-05,0.0019162121086077,0.0263653460776526,0,0.9999999965015149,3.4985324117134307e-09,3.4985324117134307e-09,0.9999999982507337,-0.004869635533391785
2024-12-06,-0.0168923117588103,0.0257988206101569,0,0.9999999976361096,2.3639295600891877e-09,2.3639295600891877e-09,0.9999999988180353,-0.0043333496120582255
2024-12-09,0.0214285168793365,0.0264083678115568,0,0.9999999942186832,5.781312495256764e-09,5.781312495256764e-09,1.0,0.000142970477613575
2024-12-10,-0.0014303071551131,0.0264094898893516,0,0.9999999966894393,3.310563633120419e-09,3.310563633120419e-09,1.0,0.002206782281519295
2024-12-11,-0.0115164315210809,0.0264856951038613,0,0.999999997123382,2.876615785596979e-09,2.876615785596979e-09,0.9999999985616921,-0.001298864289412025
2024-12-12,0.0115164315210809,0.02617241756526,0,0.9999999958156423,4.184334594318003e-09,4.184334594318003e-09,1.0,0.0006211795930826148
2024-12-13,-0.0038240929518339,0.0261789714954207,0,0.9999999969669489,3.0330302215317805e-09,3.0330302215317805e-09,1.0,0.003234823354477894
