Date,QQQ_ret,QQQ_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2018-04-12,0.011969792060172,0.0194266950311155,1,2.6412655820239494e-08,0.9999999735873647,0.9999999735873647,1.0,0.0019327320970413426
2018-04-13,-0.0051919253977998,0.0194286723148002,1,3.0620070063640876e-08,0.9999999693800423,0.9999999693800423,1.0,0.005962743302868523
2018-04-16,0.0075933684449611,0.0195717701864678,1,2.823572951286748e-08,0.9999999717638279,0.9999999717638279,1.0,0.006081682700694803
2018-04-17,0.0212969567422877,0.0197138287468021,1,3.59256417843519e-09,0.9999999964074959,0.9999999964074959,1.0,0.005976417020564622
2018-04-18,0.002044790688015,0.0197038998078065,1,2.498211916217228e-08,0.9999999750179999,0.9999999750179999,1.0,0.007542596507527201
2018-04-19,-0.009234957465173,0.0197859042654082,1,9.841217062741544e-09,0.9999999901583578,0.9999999901583578,1.0,0.0033016466024582023
2018-04-20,-0.0159538156601417,0.0192967476728207,1,8.321944677954107e-09,0.9999999916781235,0.9999999916781235,1.0,0.0011492685499898223
2018-04-23,-0.0025292298316017,0.018276236598727,1,3.055633736245812e-07,0.9999996944362022,0.9999996944362022,0.5000001527818989,-0.0008752511053227377
2018-04-24,-0.0214146134605691,0.0169028106566933,1,1.9843358539953739e-07,0.9999998015664656,0.9999998015664656,0.5000000992167672,-0.009417565145894096
2018-04-25,0.0011981881914456,0.0152437494178444,1,7.074367359365188e-05,0.9999292563265724,0.9999292563265724,0.5000353718367139,-0.009586885645207977
2018-04-26,0.020833973205214,0.0156802436828444,1,0.0002636246380165467,0.999736375362425,0.999736375362425,0.5001318123187874,-0.0035730995111305773
2018-04-27,0.0006173648722309,0.0151817747295279,1,0.01533510739107649,0.9846648926088793,0.9846648926088793,0.5076675536955604,-0.0002588634046560576
2018-04-30,-0.0071202187709689,0.0136137708868662,1,0.09802253466404998,0.9019774653362796,0.9019774653362796,0.5490112673318601,-0.0011770611925294976
2018-05-01,0.0113679246499234,0.0136203269450776,1,0.2222424454501731,0.7777575545494665,0.7777575545494665,1.0,0.005379446429569002
2018-05-02,-0.0059147324737135,0.0133101415674893,0,0.40872005981483583,0.5912799401854182,0.5912799401854182,1.0,0.003956862296537182
2018-05-03,-0.0001239064009261,0.0132577889315721,0,0.5945552656981806,0.4054447343016288,0.4054447343016288,0.7972776328491856,-0.00023471362469083763
2018-05-04,0.0187960764666908,0.0124007544829387,0,0.7213211417205868,0.27867885827977484,0.27867885827977484,1.0,0.0034010286942011423
2018-05-07,0.0082754248946966,0.012428043935699,0,0.9075092240334436,0.09249077596625489,0.09249077596625489,1.0,0.006480157427334242
2018-05-08,-0.0010228129113779,0.0115926774958849,0,0.9815824056222799,0.018417594377322037,0.018417594377322037,1.0,0.004002009915073982
2018-05-09,0.0108397078058319,0.0116398394275459,0,0.9950841577134537,0.004915842286551697,0.004915842286551697,1.0,0.007352897970983062
2018-05-10,0.0103111255885085,0.0115731571670478,0,0.9988070488417434,0.0011929511581424133,0.0011929511581424133,1.0,0.009439904368869982
2018-05-11,-0.0009435946807105,0.0114682089156094,0,0.9997613163973232,0.000238683602840228,0.000238683602840228,1.0,0.0054919701393897225
2018-05-14,0.0017101422182936,0.0114045009878851,0,0.9999210917414911,7.890825867273103e-05,7.890825867273103e-05,1.0,0.004178913604109122
2018-05-15,-0.0111368621645667,0.0108303592346662,0,0.999919622956323,8.03770441251003e-05,8.03770441251003e-05,1.0,0.002156103753471362
2018-05-16,0.0065901069118643,0.0109112068494889,0,0.9999620029482179,3.799705211487743e-05,3.799705211487743e-05,1.0,0.0013061835746778422
2018-05-17,-0.0038538653047889,0.0107164518711768,0,0.9999693884321179,3.0611567736811084e-05,3.0611567736811084e-05,0.9999846942161317,-0.0015268146039816375
2018-05-18,-0.0051817339975603,0.0100692798358129,0,0.9999765841452581,2.3415854804317186e-05,2.3415854804317186e-05,0.9999882920725978,-0.002374442467351598
2018-05-21,0.0055972350727526,0.0100593319061681,0,0.9999820364941129,1.7963506129269047e-05,1.7963506129269047e-05,0.9999910182469354,-0.0015970238964597976
2018-05-22,-0.0013070558783567,0.0084798402943676,0,0.9999892468809489,1.0753118624037586e-05,1.0753118624037586e-05,1.0,0.0003689373607822022
2018-05-23,0.0084079874503134,0.0085531894525685,0,0.9999875064966643,1.2493503655051405e-05,1.2493503655051405e-05,1.0,0.0007325134684720222
2018-05-24,-0.0002951555883266,0.0075209015990953,0,0.9999909292084647,9.070791713866857e-06,9.070791713866857e-06,1.0,0.0014442554117644819
2018-05-25,0.0010023036219606,0.0075169124872669,0,0.9999911673393307,8.832660989516388e-06,8.832660989516388e-06,1.0,0.002681062935668662
2018-05-29,-0.0044289941077428,0.0073618958915955,0,0.9999892213226039,1.0778677523827082e-05,1.0778677523827082e-05,1.0,0.000675817099569582
2018-05-30,0.0071357340292372,0.0071493554273751,0,0.9999895901160699,1.0409883601721413e-05,1.0409883601721413e-05,1.0,0.0023643750810883623
2018-05-31,-0.000646431493863,0.0069273564744078,0,0.9999901077306257,9.892269572810122e-06,9.892269572810122e-06,1.0,0.000553491292253082
2018-06-01,0.0155773129078946,0.0074833605117273,0,0.9999745397320764,2.546026765228725e-05,2.546026765228725e-05,1.0,0.003727984991497322
2018-06-04,0.0089902438411305,0.0066920752869106,0,0.999986924414764,1.3075585333843802e-05,1.3075585333843802e-05,1.0,0.005325573035331302
2018-06-05,0.0030935856338359,0.0065673050517121,0,0.999990495366241,9.504633998751699e-06,9.504633998751699e-06,1.0,0.006830088983647042
2018-06-06,0.0058168271866881,0.0065510636715326,0,0.9999895779271489,1.0422073262661542e-05,1.0422073262661542e-05,1.0,0.006566307615137222
2018-06-07,-0.0081649918153375,0.0067096845167258,0,0.9999845452887798,1.545471147729022e-05,1.545471147729022e-05,1.0,0.005062595550842323
2018-06-08,5.7607291295362125e-05,0.0064197432688038,0,0.9999902102424026,9.789757355427359e-06,9.789757355427359e-06,1.0,0.0019586544275224747
2018-06-11,0.0026904071328108,0.0064012908707039,0,0.9999904884195865,9.511580200964898e-06,9.511580200964898e-06,1.0,0.0006986870858585345
2018-06-12,0.0052461802900582,0.0064536138264028,0,0.999989884481923,1.011551784591124e-05,1.011551784591124e-05,1.0,0.0011292060171029946
2018-06-13,-5.696928343764437e-05,0.0057224314422183,0,0.9999886616457626,1.1338353930973712e-05,1.1338353930973712e-05,0.9999943308230346,-4.555327692215437e-05
2018-06-14,0.0100732983344497,0.0059093884566108,0,0.9999843606132949,1.5639386501150675e-05,1.5639386501150675e-05,1.0,0.003602104753035286
2018-06-15,-0.0034972078155378,0.0058897497687818,0,0.9999875508257927,1.24491745038194e-05,1.24491745038194e-05,1.0,0.002891141731668654
2018-06-18,-0.0005775699960622,0.0056589270325204,0,0.9999883970540516,1.1602945617378212e-05,1.1602945617378212e-05,1.0,0.0022375463058940536
2018-06-19,-0.0028370728973068,0.0057480270198038,0,0.9999876882369175,1.2311763344153002e-05,1.2311763344153002e-05,1.0,0.0006208956684210533
2018-06-20,0.0070773309596776,0.0057757151493591,0,0.9999866742042511,1.3325795324232132e-05,1.3325795324232132e-05,1.0,0.002047755717044102
2018-06-21,-0.0087264504346618,0.0061484293288381,0,0.9999808056359558,1.9194364277377966e-05,1.9194364277377966e-05,0.9999904028178613,-0.0017121940367781977
2018-06-22,-0.002221794505098,0.0061991290205366,0,0.9999758004732499,2.4199526559271303e-05,2.4199526559271303e-05,0.9999879002367204,-0.0014571113746902377
2018-06-25,-0.0227878507486593,0.0082870815293005,0,0.9997369829149378,0.00026301708529663775,0.00026301708529663775,0.9998684914573517,-0.005899167525209657
2018-06-26,0.0040765155289628,0.0082339980905891,0,0.9999759809035537,2.4019096529949258e-05,2.4019096529949258e-05,0.999987990451735,-0.004516449839955737
2018-06-27,-0.0136930227210557,0.0087219789427866,0,0.9999590230191892,4.0976980460554666e-05,4.0976980460554666e-05,0.9999795115097697,-0.008670520576102398
2018-06-28,0.0085655367152705,0.0089282602871811,0,0.9999843468219329,1.5653177718573467e-05,1.5653177718573467e-05,0.9999921734111408,-0.005212123146115936
2018-06-29,0.0026834967323986,0.0082142970544618,0,0.9999903256961744,9.674303875390445e-06,9.674303875390445e-06,0.9999951628480623,-0.004231064898616617
2018-07-02,0.0066774975581811,0.0080933579498435,0,0.9999886787713539,1.1321228930913728e-05,1.1321228930913728e-05,1.0,0.0016620047627514626
2018-07-03,-0.0116418932669863,0.0084294852074166,0,0.9999725465334947,2.745346606806076e-05,2.745346606806076e-05,0.999986273266966,-0.0014816769964383573
2018-07-05,0.0123358580394075,0.0088261803348887,0,0.9999770014399372,2.2998560196416292e-05,2.2998560196416292e-05,1.0,0.0037240991556542827
2018-07-06,0.0154363730454247,0.0093432633210873,0,0.9999640045319405,3.5995468303420135e-05,3.5995468303420135e-05,1.0,0.005098266421685123
2018-07-09,0.0089571525870032,0.0095338702372832,0,0.999980820719636,1.9179280188872504e-05,1.9179280188872504e-05,1.0,0.006352997592606042
2018-07-10,0.0007332375711794,0.0095244466196741,0,0.9999859044003003,1.4095599547749602e-05,1.4095599547749602e-05,1.0,0.005164145595205703
2018-07-11,-0.0050883307059406,0.0095503295927157,0,0.9999786480581317,2.1351941882943455e-05,2.1351941882943455e-05,1.0,0.006474858107414843
2018-07-12,0.0170851337879269,0.0102617461845394,0,0.9999352724656873,6.472753409144141e-05,6.472753409144141e-05,1.0,0.007424713257118723
2018-07-13,0.0008352713743456,0.0100436689062063,0,0.9999796469517037,2.035304837518617e-05,2.035304837518617e-05,1.0,0.004504492922902903
2018-07-16,-0.0023969633585339,0.0100226359339493,0,0.9999814160527127,1.8583947242173776e-05,1.8583947242173776e-05,1.0,0.0022336697337954825
2018-07-17,0.0060647978615205,0.0100870607627193,0,0.9999811951969673,1.8804803449391837e-05,1.8804803449391837e-05,1.0,0.0032999817918637027
2018-07-18,-0.0018879182654312,0.0100699952654708,0,0.9999813543883009,1.864561193413135e-05,1.864561193413135e-05,1.0,0.003940064279965583
2018-07-19,-0.0050144247391169,0.0100554777133503,0,0.9999783594616578,2.1640537899540945e-05,2.1640537899540945e-05,0.9999891797310503,-0.0004798474254431775
2018-07-20,-0.0002235235553739,0.0098219081991953,0,0.9999843203605991,1.5679639426739415e-05,1.5679639426739415e-05,0.9999921601802866,-0.0006916064113870774
2018-07-23,0.0031794776286276,0.0098050792950832,0,0.9999853522158041,1.4647783801489308e-05,1.4647783801489308e-05,1.0,0.00042368178604522253
2018-07-24,0.0041127127332004,0.0080256678652378,0,0.999989653460809,1.0346539425640771e-05,1.0346539425640771e-05,1.0,3.3264760381202486e-05
2018-07-25,0.013879839589313,0.008414412225557,0,0.9999735509505533,2.6449049640790424e-05,2.6449049640790424e-05,1.0,0.0031868163313300427
2018-07-26,-0.015267162104217,0.0085847083569669,0,0.9999372650252115,6.273497494820146e-05,6.273497494820146e-05,1.0,0.0011362688583100224
