Date,TIP_ret,TIP_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2025-01-10,-0.0035709753232983,0.0024402899169233,0,0.9999875565416685,1.2443458354662614e-05,1.2443458354662614e-05,0.9999937782708226,-0.0009204937521010397
2025-01-13,0.0,0.0024483815912562,0,0.9999892387137743,1.0761286268540391e-05,1.0761286268540391e-05,0.9999946193568657,-0.0005077130227065798
2025-01-14,0.0003763915158337,0.0024042647206577,0,0.9999488017975635,5.119820241324263e-05,5.119820241324263e-05,0.9999744008987934,-0.0004324347195398398
2025-01-15,0.0069399505677941,0.0029073658677826,0,0.9994281086574638,0.0005718913425449153,0.0005718913425449153,1.0,0.0012750960502256202
2025-01-16,0.0013073796971326,0.0029215720363038,0,0.9996750667141416,0.00032493328587016035,0.00032493328587016035,1.0,0.0010105492914924204
2025-01-17,0.0003735285540571,0.0029224519900477,0,0.9998422164696549,0.00015778353031605877,0.00015778353031605877,1.0,0.0017994500669635005
2025-01-21,0.0007460498371471,0.0025310772712385,0,0.9999760046126018,2.399538740177014e-05,2.399538740177014e-05,1.0,0.0019486600343929204
2025-01-22,-0.001119578391204,0.0023496606107111,0,0.9999936124483434,6.387551637437751e-06,6.387551637437751e-06,1.0,0.00164946605298538
2025-01-23,0.0009331549226886,0.0023239028026225,0,0.999995154969297,4.845030752995098e-06,4.845030752995098e-06,1.0,0.0004481069239642803
2025-01-24,0.0017700623591414,0.0023115071964853,0,0.9999941603552975,5.839644669506055e-06,5.839644669506055e-06,1.0,0.0005406434563660403
2025-01-27,0.0041800747113086,0.0024265316079913,0,0.9999862961113815,1.3703888670978896e-05,1.3703888670978896e-05,1.0,0.0013019526878163402
2025-01-28,0.0006486077734695,0.0024227308385118,0,0.9999936969522569,6.303047699992158e-06,6.303047699992158e-06,1.0,0.0012824642750808204
2025-01-29,-0.0012049132517934,0.0023489709973975,0,0.9999949172572111,5.082742837603017e-06,5.082742837603017e-06,1.0,0.0012653973029629405
2025-01-30,0.0010196814763476,0.0022917220575788,0,0.999995562617255,4.437382785251002e-06,4.437382785251002e-06,1.0,0.0012827026136947404
2025-01-31,0.0007409406525642,0.0022521837354885,0,0.9999958753386208,4.124661348789486e-06,4.124661348789486e-06,1.0,0.0010768782723793004
2025-02-03,0.0023119530183186,0.0022749253125806,0,0.9999945602863978,5.439713586614269e-06,5.439713586614269e-06,1.0,0.0007032539337813004
2025-02-04,0.0016612152990304,0.0021856542538159,0,0.9999951383776932,4.861622266699393e-06,4.861622266699393e-06,1.0,0.0009057754388934802
2025-02-05,0.0044166080358485,0.0023088087998882,0,0.9999877606329439,1.2239367098968508e-05,1.2239367098968508e-05,1.0,0.0020300796964218605
2025-02-06,-0.0017458272208398,0.0023182312738996,0,0.9999940292858341,5.970714138619744e-06,5.970714138619744e-06,1.0,0.0014769779569843804
2025-02-07,-0.0026707808150087,0.002436584901261,0,0.9999916986294105,8.301370602610133e-06,8.301370602610133e-06,1.0,0.0007946336634698003
2025-02-10,0.0004609836272287,0.0022070422901988,0,0.9999954489173994,4.551082597028026e-06,4.551082597028026e-06,1.0,0.00042443978525182025
2025-02-11,-0.0002765501137311,0.0022148673747432,0,0.999986490599857,1.3509400143620065e-05,1.3509400143620065e-05,1.0,3.688670269952027e-05
2025-02-12,-0.0060109472200042,0.0027191979981093,0,0.999825450821698,0.00017454917830182228,0.00017454917830182228,0.9999127254108491,-0.0020486243484710196
2025-02-13,0.0055499088998162,0.0025653735058671,0,0.9998785411852745,0.00012145881475362946,0.00012145881475362946,0.9999392705926231,-0.0005894771243398197
2025-02-14,0.0018430974281361,0.0025753258598612,0,0.999944416026848,5.558397318711145e-05,5.558397318711145e-05,1.0,0.00031329852428914036
2025-02-18,-0.0032277079204762,0.0027198238532723,0,0.9998739274375006,0.00012607256247178266,0.00012607256247178266,0.9999369637187641,-0.00042443978525183966
2025-02-19,0.0020299755244292,0.0027409747875203,0,0.9997312277100053,0.00026877228997062024,0.00026877228997062024,1.0,3.686534238022043e-05
2025-02-20,0.0020259357154005,0.0027294167126657,0,0.9991801260552177,0.0008198739447688708,0.0008198739447688708,1.0,0.0016442419294611607
2025-02-21,0.0020219120950491,0.0027446486407032,0,0.9970648120885512,0.0029351879115016954,0.0029351879115016954,1.0,0.0009386425685077405
2025-02-24,0.0022010829195402,0.0027545292377319,0,0.9894749479260155,0.010525052073935809,0.010525052073935809,1.0,0.0010102396667885604
