Date,NVDA_ret,NVDA_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2022-06-24,0.0540443734641312,0.042643012335363,0,0.999999999661668,3.3815390737667564e-10,0.999999999661668,1.0,0.018652538833128614
2022-06-27,-0.0151202886125069,0.0410981468785104,0,0.9999999936862878,6.313300890688538e-09,0.9999999936862878,1.0,0.012083387918647834
2022-06-28,-0.054014350267219,0.0404578754758222,0,0.9999999993542588,6.459497452641717e-10,0.9999999993542588,0.5000000003228706,-0.007177841691451886
2022-06-29,-0.0279172205918948,0.0406976154730691,0,0.9999999950441634,4.955943517686044e-09,0.9999999950441634,0.5000000024779183,-0.010258687147504747
2022-06-30,-0.0249513610882818,0.0407945727331244,0,0.9999999946467142,5.353560520309217e-09,0.9999999946467142,0.5000000026766429,-0.013591769419154265
2022-07-01,-0.04286093432916,0.0371801921781741,0,0.9999999348783625,6.512189771933368e-08,0.9999999348783625,0.5000000325608187,-0.032972830977812506
2022-07-05,0.0299136405565523,0.0377382984690551,0,0.9999997406166922,2.593834513120271e-07,0.9999997406166922,0.5000001296916539,-0.02396604514400067
2022-07-06,0.01103231215194,0.0379292962272245,0,0.9999996839433651,3.160562997730026e-07,0.9999996839433651,0.5000001580283174,-0.010956712660168866
2022-07-07,0.0469945545814247,0.0399108524841766,0,0.9999999880601537,1.1939491223235298e-08,0.9999999880601537,1.0,0.004025642374495034
2022-07-08,-0.001261870507356,0.0399209622035528,0,0.9999999636029322,3.6397294940569776e-08,0.9999999636029322,1.0,0.008763540490680195
2022-07-11,-0.0442795407127204,0.0403767353095179,0,0.9999999980718712,1.9280047575249553e-09,0.9999999980718712,1.0,0.008479819213968112
2022-07-12,-0.0046305951750849,0.0384323927447415,0,0.9999998323801406,1.676198616720358e-07,0.9999998323801406,1.0,0.001570972067640674
2022-07-13,0.005422043392012,0.0341174149765363,0,0.9999898959187034,1.0104081287716726e-05,0.9999898959187034,1.0,0.00044891831565507383
2022-07-14,0.0136236470169984,0.0341531766212636,0,0.9999899077765755,1.0092223229267994e-05,0.9999899077765755,0.5000050461117123,-0.006225263197230187
2022-07-15,0.0250541932455619,0.033164551111462,0,0.9999793710885141,2.0628911383476598e-05,0.9999793710885141,0.500010314455743,-0.000962050446646607
2022-07-18,0.0212794926092439,0.0308549240004278,0,0.9999043038386394,9.569616126006406e-05,0.9999043038386394,1.0,0.012149756217746254
2022-07-19,0.0538614310476502,0.0328441900321095,0,0.9999948602330943,5.139766576617308e-06,0.9999948602330943,1.0,0.023848161462293273
2022-07-20,0.0468487208883897,0.0331427545700741,0,0.9999941434206052,5.856579825038419e-06,0.9999941434206052,1.0,0.032133496961568815
2022-07-21,0.0135539176786046,0.0329874420821737,0,0.999976407762911,2.35922369604642e-05,0.999976407762911,1.0,0.03211955109389005
2022-07-22,-0.0413412391325229,0.0344780768561801,0,0.9999989855655856,1.0144343356904383e-06,0.9999989855655856,1.0,0.018840464618273094
2022-07-25,-0.0171800634121823,0.0325830745481122,0,0.9999800726157548,1.9927384377599232e-05,0.9999800726157548,1.0,0.011148553413987853
2022-07-26,-0.0292658637935827,0.0330716058128207,0,0.9999925599899426,7.440010327497917e-06,0.9999925599899426,0.5000037200050287,-0.005476905554258725
2022-07-27,0.0732783331634656,0.0345489622556509,0,0.9999998273761015,1.7262350221415684e-07,0.9999998273761015,0.5000000863119493,-0.00019098309924354406
2022-07-28,0.0108455465564749,0.0336598133135892,0,0.9999839329729372,1.6067027495225288e-05,0.9999839329729372,0.5000080335135314,-0.0007326573236694841
2022-07-29,0.0099044151701917,0.0327934411356731,0,0.9999496611163793,5.0338883779219856e-05,0.9999496611163793,1.0,0.009516473536873436
2022-08-01,0.0151900101081431,0.0304427430672442,0,0.9997179721527931,0.0002820278472845648,0.9997179721527931,1.0,0.015990488240938516
2022-08-02,0.0045984657445638,0.0301813501510047,0,0.9995346308557691,0.00046536914380079433,0.9995346308557691,1.0,0.022763354148567817
2022-08-03,0.0196165333704522,0.0302476436551271,0,0.999446825544902,0.0005531744549283689,0.999446825544902,1.0,0.012030994189965137
