Date,DBC_ret,DBC_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-09-18,-0.0063926685053294,0.0110696162384462,0,0.9999995438382615,4.561617643769791e-07,0.9999995438382615,1.0,0.005762487331456101
2024-09-19,0.0177076902457165,0.0117169308495192,0,0.9999999977430889,2.2569520276765066e-09,0.9999999977430889,1.0,0.005474804896546781
2024-09-20,0.0,0.0117118883761282,0,0.9999999799122181,2.008779514587177e-08,0.9999999799122181,1.0,0.005105108078956781
2024-09-23,0.0004499337159556,0.0110179132024231,0,0.999999365365144,6.346348728313397e-07,0.999999365365144,1.0,0.0037231607832443614
2024-09-24,0.0165070884340125,0.011406860445104,0,0.9999999849238749,1.507612060130875e-08,0.9999999849238749,1.0,0.00565440877807104
2024-09-25,-0.0084425225941874,0.0115178345038857,0,0.9999999547959543,4.52040125617171e-08,0.9999999547959543,1.0,0.005244437960299442
2024-09-26,-0.0089647293105031,0.0113616701824476,0,0.9999999046808671,9.531912707132592e-08,0.9999999046808671,0.5000000476595665,-9.004595094447877e-05
2024-09-27,0.0049404829748765,0.0111249061060659,0,0.9999996915697031,3.08430273710113e-07,0.9999996915697031,1.0,0.0008980506440308212
2024-09-30,-0.0022426063154466,0.010828020941508,0,0.9999984607708734,1.539229134997146e-06,0.9999984607708734,1.0,0.0003595426377503813
2024-10-01,0.0173607573339092,0.0103309306960104,0,0.9999982446399317,1.755360082197785e-06,0.9999982446399317,1.0,0.0005302764177297214
2024-10-02,0.0083499492193057,0.0101561674179446,0,0.9999860569890895,1.3943010886123361e-05,0.9999860569890895,1.0,0.003888770780428341
2024-10-03,0.0143386710494434,0.0104633986342823,0,0.999997610372033,2.389627958970406e-06,0.999997610372033,1.0,0.00854945085241764
2024-10-04,0.0025851258387731,0.0096617063693883,0,0.9998770551687608,0.00012294483125348143,0.9998770551687608,1.0,0.008078379425196961
2024-10-07,0.0136753878076569,0.0098692158403345,0,0.9999757752959766,2.422470406222538e-05,0.9999757752959766,1.0,0.011261978249817662
2024-10-08,-0.0236214632024258,0.0109533469089136,0,0.9999999355803787,6.441961350906649e-08,0.9999999355803787,1.0,0.0030655341425506618
2024-10-09,-0.0087299454244,0.0112844287762085,0,0.9999998584003251,1.4159970012537088e-07,0.9999998584003251,0.5000000707998374,-0.0003504447861904788
2024-10-10,0.0195362167163831,0.0113129503907121,0,0.9999999876021094,1.239791629462762e-08,0.9999999876021094,1.0,0.0006890643471974614
2024-10-11,0.0008595458056147,0.0113234220876846,0,0.9999998546285375,1.4537141524714363e-07,0.9999998546285375,1.0,0.00034394834056578137
