Date,PEP_ret,PEP_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2018-04-11,-0.0066029891052601,0.0100739495731291,0,0.9999651227597047,3.4877240359567066e-05,3.4877240359567066e-05,0.9999825613798202,-0.002741528981902437
2018-04-12,-0.0034105385498315,0.0099616215693148,0,0.999970927930603,2.9072069013282257e-05,2.9072069013282257e-05,0.9999854639654934,-0.004130360654555598
2018-04-13,0.0087332838481316,0.010199514295207,0,0.9999587469106789,4.1253088894742424e-05,4.1253088894742424e-05,0.9999793734555527,-7.31775999546172e-05
2018-04-16,0.0060224317222451,0.0103146369797922,0,0.9999393376002835,6.066239965995628e-05,6.066239965995628e-05,1.0,0.0009849984410459827
2018-04-17,-0.0095983171500423,0.0102171141344639,0,0.9996363085171279,0.00036369148278886577,0.00036369148278886577,0.9998181542586055,-0.0009712258469514373
2018-04-18,-0.0175127689206908,0.0108715754719267,0,0.9971852008558442,0.002814799144530123,0.002814799144530123,0.998592600427735,-0.0031531818100375775
2018-04-19,-0.0132678759379459,0.0110061310627445,0,0.992816577009884,0.007183422990067798,0.007183422990067798,0.9964082885049661,-0.005124649287660457
2018-04-20,-0.0297063950027,0.0126460979781633,0,0.9756756656606279,0.024324334339652556,0.024324334339652556,0.9878378328301738,-0.012812585057826778
2018-04-23,0.0009755534496173,0.0122174841857872,0,0.9932743153800859,0.006725684619530208,0.006725684619530208,0.9966371576902349,-0.013821960712352338
2018-04-24,-0.0111754019262629,0.0122431740260545,0,0.9963174674362212,0.003682532563543293,0.003682532563543293,0.9981587337182283,-0.014137377667596457
2018-04-25,-0.0028633033809781,0.0119999229734602,0,0.9973225796910249,0.002677420308801462,0.002677420308801462,0.9986612898455993,-0.011207484559653917
2018-04-26,0.0206458309830414,0.012562260731842,0,0.995038653861934,0.004961346137923283,0.004961346137923283,0.9975193269310383,-0.004424743175456458
2018-04-27,-0.0151248435265962,0.0128416929476699,0,0.995538886162714,0.004461113837103368,0.004461113837103368,0.9977694430814483,-0.0015084328802356974
2018-04-30,-0.0075993853686274,0.0123333794364703,0,0.997126487421596,0.002873512578748489,0.002873512578748489,0.9985632437106258,-0.0032234206438846377
2018-05-01,-0.0180940727010597,0.0123450010146889,0,0.9967084166598649,0.0032915833397156587,0.0032915833397156587,0.9983542083301422,-0.0046071547988439975
2018-05-02,-0.0193526318349552,0.0115590957474957,0,0.9976658917713418,0.00233410822898198,0.00233410822898198,0.998832945885509,-0.007905020489639416
2018-05-03,0.0037979579726081,0.0115710184654756,0,0.9994526806968654,0.0005473193034645602,0.0005473193034645602,0.9997263403482677,-0.011274595091726078
2018-05-04,0.0141415058529006,0.0123501131103923,0,0.9994248253153648,0.0005751746850686767,0.0005751746850686767,0.9997124126574657,-0.005421325215826717
2018-05-07,-0.0077068774547229,0.0122896513783844,0,0.9995579043412977,0.0004420956590282271,0.0004420956590282271,0.9997789521704858,-0.0054428236330458174
2018-05-08,-0.014768317279654,0.0123880662810233,0,0.999348336137666,0.000651663862286865,0.000651663862286865,0.9996741680688566,-0.004777672548764678
2018-05-09,-0.0065300718420995,0.0123879284231865,0,0.9995884140451791,0.00041158595480591403,0.00041158595480591403,0.999794207022597,-0.0022131605501935375
