Date,ETHA_ret,ETHA_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2025-01-17,0.0538798865430513,0.0465333254374102,0,0.9858458457436959,0.014154154256319216,0.014154154256319216,1.0,0.015578131687694735
2025-01-21,-0.0614211220903496,0.0462924101261582,0,0.9866414142807677,0.013358585719210015,0.013358585719210015,1.0,0.014026371054840914
2025-01-22,-0.0180909763224814,0.042074309636051,0,0.9986551118544507,0.0013448881455016255,0.0013448881455016255,1.0,0.0018748826412909932
2025-01-23,-0.0024370225798702,0.041755656505238,0,0.999816764785133,0.0001832352148739931,0.0001832352148739931,0.999908382392563,-0.011535575295697788
2025-01-24,0.0264862932879854,0.0421854911048921,0,0.9998419967137088,0.00015800328631922095,0.00015800328631922095,0.9999209983568405,-0.00031658823233290804
2025-01-27,-0.0595607929227981,0.0433990060949314,0,0.9995301361448089,0.000469863855193915,0.000469863855193915,0.9997650680724031,-0.02300472412550279
2025-01-28,-0.0152480972538651,0.0420038943627167,0,0.9996821521844649,0.000317847815566093,0.000317847815566093,0.999841076092217,-0.01377011915820589
2025-01-29,0.0152480972538651,0.0422013154239131,0,0.9982184684209549,0.0017815315790052385,0.0017815315790052385,0.9991092342104974,-0.00710230444293659
2025-01-30,0.0294077547521106,0.0425533281236756,0,0.9827075473046716,0.017292452695361372,0.017292452695361372,0.9913537736523192,-0.0007333489765404287
2025-01-31,0.0249912574582889,0.0428344688247273,0,0.8575527944679735,0.14244720553204934,0.14244720553204934,0.9287763972339753,-0.0010323561424797289
2025-02-03,-0.2017771105321711,0.0612819158185102,1,2.978782013422299e-08,0.99999997021223,0.99999997021223,0.500000014893885,-0.029475619664354323
2025-02-04,0.0089708184186238,0.0601687033463325,1,4.7229401743554636e-08,0.9999999527706234,0.9999999527706234,0.5000000236146883,-0.024631836529856548
2025-02-05,0.0108031480511515,0.059866476974353,1,5.969056269886927e-08,0.9999999403094098,0.9999999403094098,0.5000000298452951,-0.02552082637039927
2025-02-06,-0.0158848064298668,0.0574918758583336,1,2.506363900028832e-07,0.9999997493636416,0.9999997493636416,0.5000001253181792,-0.034579338606794754
