Date,SLV_ret,SLV_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-09-24,0.0488241893039989,0.0230628596037449,0,1.0,1.6243946384115559e-15,1.0,1.0,0.00990785151190378
2024-09-25,-0.0109515024165655,0.023290331253598,0,0.9999999999998863,6.10764649826498e-14,0.9999999999998863,1.0,0.012935233377097021
2024-09-26,0.0068587636499441,0.022358093932129,0,0.9999999999957936,4.210542685315083e-12,0.9999999999957936,1.0,0.008161551373212882
2024-09-27,-0.0137648289198966,0.0227321693821445,0,0.9999999999992042,8.509763564229045e-13,0.9999999999992042,1.0,0.0031430767998505403
2024-09-30,-0.0157153839992525,0.0226574968617156,0,0.9999999999988631,1.1394280015474342e-12,0.9999999999988631,1.0,0.00305024752364568
2024-10-01,0.0059659793370593,0.0212482904615626,0,0.9999999994785185,5.21536756374134e-10,0.9999999994785185,0.5000000002607408,-0.00552139446974224
2024-10-02,0.01458866015424,0.0213389781274949,0,0.999999999759666,2.402849604871526e-10,0.999999999759666,0.500000000120167,-0.0004133619555811398
2024-10-03,0.007899733475932,0.0210485564250905,0,0.9999999989145181,1.0854574211374006e-09,0.9999999989145181,0.500000000542741,-0.00020516799038356007
2024-10-04,0.0044376610724492,0.0194364824908913,0,0.999999607926688,3.920733415818065e-07,0.999999607926688,1.0,0.0034353300080856
2024-10-07,-0.0147540949980464,0.0199453448197289,0,0.9999999356933834,6.4306658355384e-08,0.9999999356933834,1.0,0.0036275878083268194
2024-10-08,-0.0323175320933589,0.0216791464755643,0,0.9999999999689635,3.108187278132246e-11,0.9999999999689635,0.5000000000155183,-0.00402911447775682
2024-10-09,-0.0053696071839815,0.0217612727868597,0,0.9999999999262172,7.375913351426086e-11,0.9999999999262172,0.5000000000368914,-0.00802076794540112
2024-10-10,0.0184926519011311,0.0200150656702514,0,0.9999999707813463,2.921868266428291e-08,0.9999999707813463,0.5000000146093269,-0.0059021842603613015
2024-10-11,0.014690718490347,0.0193758640737258,0,0.9999996820045504,3.179954000061035e-07,0.9999996820045504,0.5000001589977248,-0.0038515727767817406
