Date,FXI_ret,FXI_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-09-27,0.0078014958684327,0.0290686289879132,1,5.7335184997181e-14,0.9999999999998863,0.9999999999998863,1.0,0.033931452644029685
2024-09-30,-0.0121971010421445,0.0294757472377904,1,3.0878549633065004e-15,1.0,1.0,1.0,0.027625406541063803
2024-10-01,0.0406960040429246,0.0295757374129419,1,2.0167828589662123e-15,1.0,1.0,1.0,0.0170181113642967
2024-10-02,0.0694358984456327,0.0320353865946583,1,2.223487393756079e-21,1.0,1.0,1.0,0.0365093853576258
2024-10-03,-0.0280097952720578,0.033204769257358,1,4.607877005476845e-22,1.0,1.0,1.0,0.015545300408557538
2024-10-04,0.0344715575104399,0.0328047022536704,1,1.5108524751006943e-19,1.0,1.0,1.0,0.020879312736958977
2024-10-07,0.0270734366827195,0.0326539414646375,1,4.565650163951176e-19,1.0,1.0,1.0,0.028733420281931776
2024-10-08,-0.0960464369907207,0.0413210873384022,1,5.840674415471666e-51,1.0,1.0,1.0,0.0013849320752027188
2024-10-09,-0.0163342789103205,0.041853957405353,1,1.267454418557413e-37,1.0,1.0,0.5,-0.015769103395987923
2024-10-10,0.0130284953104381,0.04174992038554,1,9.374181726901683e-36,1.0,1.0,0.5,-0.00756144527948874
2024-10-11,0.0045051824019772,0.041762523782542,1,4.741091263602101e-36,1.0,1.0,0.5,-0.01355472030118128
2024-10-14,-0.0190596945001325,0.042345960087944,1,5.505120987961968e-39,1.0,1.0,0.5,-0.022781346537751677
2024-10-15,-0.0513897430516881,0.044615480407311,1,8.422434737142087e-49,1.0,1.0,0.5,-0.013850007749945159
