Date,JPM_ret,JPM_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2020-01-16,0.0038688430540575,0.0086654858722105,1,3.583472829345042e-05,0.9999641652720798,3.583472829345042e-05,0.9999820826358532,-0.0002766587082175812
2020-01-17,0.0068974117358619,0.0087971860130557,1,3.5201088729941394e-05,0.9999647989109031,3.5201088729941394e-05,1.0,0.0031063852344949986
2020-01-21,-0.0098894928761586,0.0090192972193696,1,4.3148057040449466e-05,0.999956851942934,4.3148057040449466e-05,0.9999784259714798,-0.0005255016732857813
2020-01-22,-0.0011696448986332,0.0090216856406623,1,3.0947885620998005e-05,0.9999690521140577,3.0947885620998005e-05,0.9999845260571896,-0.0030783354998909014
2020-01-23,-0.0010247183232544,0.0090249151865607,1,4.240240518408896e-05,0.9999575975948293,4.240240518408896e-05,0.999978798797408,-0.0002635202616253614
2020-01-24,-0.0251414719032328,0.0106064440171481,1,0.00023847330993749454,0.9997615266896177,0.00023847330993749454,0.9998807633450313,-0.006065583253083422
2020-01-27,-0.0084470866822892,0.0103345978823448,1,5.102660570268227e-05,0.9999489733940717,5.102660570268227e-05,0.9999744866971487,-0.009134482936713642
2020-01-28,0.0180145095399026,0.0112781316998055,1,6.268979975208862e-05,0.9999373102006182,6.268979975208862e-05,0.9999686551001239,-0.003553682453501402
2020-01-29,-0.0014889204383788,0.0112655627609851,1,2.9711438740784264e-05,0.999970288560978,2.9711438740784264e-05,0.9999851442806296,-0.003617537561450521
2020-01-30,0.0122906047471951,0.0115778782673464,1,6.676088918305541e-05,0.9999332391111053,6.676088918305541e-05,0.9999666195554084,-0.0009544729473606215
2020-01-31,-0.0263197297716255,0.012455204174453,1,0.0003988839757617284,0.999601116023814,0.0003988839757617284,0.9998005580121192,-0.0011901245210391611
2020-02-03,0.0076015188756078,0.0124119000218637,1,6.532188433379477e-05,0.9999346781158983,6.532188433379477e-05,1.0,0.002019596590540239
2020-02-04,0.014293213869673,0.0129259736162211,1,6.879702361611529e-05,0.999931202975977,6.879702361611529e-05,1.0,0.0012753374564943188
2020-02-05,0.0168579911374425,0.0129371105010811,1,8.036987603996251e-05,0.999919630124384,8.036987603996251e-05,1.0,0.004944719771658579
2020-02-06,0.0001452886548465,0.0128273448641475,1,3.86636449645676e-05,0.9999613363550804,3.86636449645676e-05,1.0,0.002515656553188859
