Date,VNQ_ret,VNQ_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-12-27,-0.0100898772872899,0.0116025488071678,0,0.9999997617932479,2.3820677557387977e-07,2.3820677557387977e-07,1.0,0.00396426769583402
2024-12-30,-0.0049700953593137,0.0116023857550588,0,0.999999924688953,7.531103311466403e-08,7.531103311466403e-08,0.9999999623444835,-0.00037108899344562003
2024-12-31,0.0086816344062591,0.0117314725434444,0,0.9999999863288168,1.367112811677678e-08,1.367112811677678e-08,1.0,0.0005846014154440801
2025-01-02,-0.0089081154061719,0.011787341713244,0,0.9999997307261673,2.6927384058240893e-07,2.6927384058240893e-07,0.9999998653630797,-0.00252115049603828
2025-01-03,0.0130529910202427,0.012378301809027,0,0.9999999471256175,5.287440667364155e-08,5.287440667364155e-08,0.9999999735627967,-0.00044669252525474
2025-01-06,-0.0129396543064443,0.0125723783937374,0,0.999995847599943,4.152400112170153e-06,4.152400112170153e-06,0.9999979237999439,-0.00101664792908562
2025-01-07,-0.0095585470243357,0.0126312048559407,0,0.9999978616450688,2.138354876426414e-06,2.138354876426414e-06,0.9999989308225619,-0.00193433826209002
2025-01-08,0.0026262757969567,0.0126257961012311,0,0.999998778090522,1.2219094557116983e-06,1.2219094557116983e-06,0.9999993890452721,-0.0031454099839505
2025-01-10,-0.0247068368316103,0.0132593248346112,0,0.9993875132536493,0.0006124867463943518,0.0006124867463943518,0.9996937566268028,-0.006305154269038179
2025-01-13,0.0121986823512327,0.0137718771982536,0,0.9999894897056082,1.0510294375628567e-05,1.0510294375628567e-05,0.9999947448528121,-0.006476016002840179
2025-01-14,0.0090810801459351,0.0140640697855163,0,0.9999940042382726,5.995761694740955e-06,5.995761694740955e-06,0.9999970021191527,-0.0020718691123643
2025-01-15,0.0057051326220474,0.0142055581054202,0,0.9999786971913982,2.130280865811542e-05,2.130280865811542e-05,1.0,0.00098086681691232
2025-01-16,0.0204963175368212,0.0151266067140879,0,0.9997948599077428,0.0002051400922145211,0.0002051400922145211,1.0,0.00455487516488522
2025-01-17,-0.0006689876643292,0.0151085016065268,0,0.9997193028046889,0.0002806971953635382,0.0002806971953635382,1.0,0.00936244499834144
2025-01-21,0.0185660922377042,0.0123352906736746,0,0.9999998736248097,1.2637513531347141e-07,1.2637513531347141e-07,1.0,0.01063592697563574
2025-01-22,-0.0175628668567252,0.0124875605420152,0,0.9999878398712484,1.216012880347523e-05,1.216012880347523e-05,1.0,0.00530713757510368
2025-01-23,0.0073278260176425,0.0120569348467721,0,0.9999999626862752,3.7313762064860584e-08,3.7313762064860584e-08,1.0,0.005631676254222701
2025-01-24,0.0034233039061102,0.012051490384022,0,0.9999999470752542,5.292476227356841e-08,5.292476227356841e-08,1.0,0.0022170735280805007
2025-01-27,0.0132510123091235,0.0123013212672808,0,0.9999999569951123,4.300486823973194e-08,4.300486823973194e-08,1.0,0.005001073522771041
