Date,MSFT_ret,MSFT_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-04-29,-0.0100673547548085,0.0124961585514828,0,0.9992232058235471,0.0007767941762158425,0.0007767941762158425,1.0,0.0006423959133402639
2024-04-30,-0.0326462835991401,0.0141602534707067,0,0.9951843112454805,0.004815688754706379,0.004815688754706379,0.9975921556226468,-0.009157063337835695
2024-05-01,0.0143063961024123,0.0147381115034406,0,0.9974614524539698,0.002538547546441005,0.002538547546441005,0.9987307262267795,-0.007025613394982856
2024-05-02,0.0073160352138692,0.014899817510735,0,0.9981350569434947,0.0018649430565795952,0.0018649430565795952,0.9990675284717102,-0.0006023716488947357
2024-05-03,0.0219276551710202,0.0151980915256469,0,0.9973312831309692,0.0026687168694656416,0.0026687168694656416,1.0,0.00016728962667062405
2024-05-06,0.0167767391566405,0.0157836055407757,0,0.9974112965411551,0.0025887034586748094,0.0025887034586748094,1.0,0.005536108408960424
2024-05-07,-0.0102081737603346,0.0158517802397613,0,0.9980568666813354,0.0019431333185130012,0.0019431333185130012,1.0,0.010023730376721525
2024-05-08,0.002927291423883,0.0158412896312514,0,0.998854937076945,0.001145062923263094,0.001145062923263094,1.0,0.007747909441015664
2024-05-09,0.0043264222778398,0.0156336400287169,0,0.9993143616005982,0.0006856383995254403,0.0006856383995254403,1.0,0.0071499868538097856
2024-05-10,0.0058519896770148,0.0154426786499618,0,0.9995677730740217,0.00043222692559560224,0.00043222692559560224,1.0,0.003934853755008705
2024-05-13,-0.0024623085451292,0.0147983307710439,0,0.9997374944722087,0.0002625055273468383,0.0002625055273468383,1.0,8.70442146547642e-05
2024-05-14,0.0068410518753242,0.0148702033828814,0,0.9997215068352696,0.0002784931649490802,0.0002784931649490802,1.0,0.0034968893417865244
2024-05-15,0.0173327968295677,0.0152482270431759,0,0.9995476471228255,0.00045235287693084396,0.00045235287693084396,1.0,0.0063779904229234645
2024-05-16,-0.0049522253315932,0.0145993766565343,0,0.9997817122579576,0.0002182877421126046,0.0002182877421126046,1.0,0.004522260901036865
2024-05-17,-0.0018543741648555,0.0142095695344892,0,0.9998695250466877,0.00013047495306987744,0.00013047495306987744,1.0,0.0029809881326628043
2024-05-20,0.0121342688828743,0.0143626256921093,0,0.9998496447964532,0.000150355203165095,0.000150355203165095,1.0,0.005900303618263504
2024-05-21,0.0086612876003603,0.014087876538954,0,0.9998894398999757,0.00011056010016785052,0.00011056010016785052,1.0,0.006264350763270724
2024-05-22,0.0034436329522659,0.0140871896972789,0,0.9999132401830116,8.675981726591353e-05,8.675981726591353e-05,1.0,0.003486517987810364
2024-05-23,-0.008209809839852,0.012817135431107,0,0.9999376909222267,6.230907820889763e-05,6.230907820889763e-05,1.0,0.0028350010861586047
2024-05-24,0.0073733106029236,0.0123916466333426,0,0.9999581658522877,4.183414735187231e-05,4.183414735187231e-05,1.0,0.004680538039714425
