Date,KO,PEP
2020-09-21,41.90590286254883,111.689208984375
2020-09-22,42.39248275756836,112.46365356445312
2020-09-23,41.154685974121094,111.48497772216797
2020-09-24,41.57298278808594,111.97858428955078
2020-09-25,41.59004592895508,113.65508270263672
2020-09-28,42.06809997558594,117.41665649414062
2020-09-29,41.76077651977539,116.727294921875
2020-09-30,42.144920349121094,117.95277404785156
2020-10-01,41.982730865478516,119.82505798339844
2020-10-02,42.136390686035156,117.49324798583984
2020-10-05,42.15345764160156,117.38261413574219
2020-10-06,41.77785110473633,115.48478698730469
2020-10-07,42.307125091552734,116.59964752197266
2020-10-08,43.07541275024414,117.31455993652344
2020-10-09,43.374183654785156,117.81663513183594
2020-10-12,43.613216400146484,120.9569320678711
2020-10-13,42.87052917480469,122.15686798095703
2020-10-14,42.7851676940918,121.28885650634766
2020-10-15,42.674190521240234,120.3612060546875
2020-10-16,42.708335876464844,120.6164779663086
2020-10-19,42.35833740234375,118.87191009521484
2020-10-20,42.89614486694336,118.89745330810547
2020-10-21,42.674190521240234,118.80382537841797
2020-10-22,43.263206481933594,118.81233978271484
2020-10-23,43.126617431640625,118.7697982788086
2020-10-26,42.511985778808594,117.49324798583984
2020-10-27,42.59736633300781,118.39535522460938
2020-10-28,40.94126892089844,114.18273162841797
2020-10-29,40.99249267578125,114.02953338623047
2020-10-30,41.02663803100586,113.4338150024414
2020-11-02,41.50468444824219,115.01675415039062
2020-11-03,42.12786102294922,116.62518310546875
2020-11-04,41.97419738769531,117.32302856445312
2020-11-05,42.204681396484375,117.4847412109375
2020-11-06,42.213218688964844,117.76554870605469
2020-11-09,44.876617431640625,117.82513427734375
2020-11-10,46.08027648925781,120.60799407958984
2020-11-11,45.73880386352539,122.4632568359375
2020-11-12,45.252220153808594,122.41216278076172
2020-11-13,45.62784194946289,123.1526107788086
2020-11-16,45.969295501708984,124.04618835449219
2020-11-17,45.82417297363281,123.60363006591797
2020-11-18,44.9107666015625,122.02075958251953
2020-11-19,45.354671478271484,121.96968078613281
2020-11-20,44.96198654174805,122.05477905273438
2020-11-23,44.970516204833984,121.71434020996094
2020-11-24,45.43149185180664,122.57391357421875
2020-11-25,45.183929443359375,122.6845474243164
2020-11-27,44.987606048583984,123.0589828491211
2020-11-30,44.393951416015625,122.74407196044922
2020-12-01,44.77251052856445,124.30998992919922
2020-12-02,44.83272933959961,123.07599639892578
2020-12-03,45.40916061401367,123.80713653564453
2020-12-04,46.329734802246094,125.00703430175781
2020-12-07,45.58984375,124.5956039428711
2020-12-08,45.75330352783203,124.72415161132812
2020-12-09,45.88235855102539,124.86986541748047
2020-12-10,45.641456604003906,123.99565124511719
2020-12-11,45.899559020996094,124.25279998779297
2020-12-14,45.83073806762695,123.61852264404297
2020-12-15,46.321136474609375,124.08135986328125
2020-12-16,45.650062561035156,124.18421936035156
2020-12-17,45.83073806762695,124.88705444335938
2020-12-18,46.2350959777832,125.93268585205078
2020-12-21,45.43497085571289,124.621337890625
2020-12-22,45.391963958740234,123.43853759765625
2020-12-23,45.667274475097656,123.77281188964844
2020-12-24,45.976993560791016,124.32994079589844
2020-12-28,46.5964469909668,125.91553497314453
2020-12-29,46.57063293457031,126.35265350341797
2020-12-30,46.83734130859375,126.25839233398438
2020-12-31,47.181480407714844,127.10693359375
2021-01-04,45.391963958740234,123.65283203125
2021-01-05,44.89295196533203,124.02136993408203
2021-01-06,43.46476745605469,122.50431060791016
2021-01-07,42.98298263549805,122.11006164550781
2021-01-08,43.94657516479492,123.57567596435547
2021-01-11,43.18947219848633,121.78437042236328
2021-01-12,43.112037658691406,121.21868133544922
2021-01-13,43.15504837036133,122.212890625
2021-01-14,42.35493087768555,121.50150299072266
2021-01-15,41.89895248413086,121.18437194824219
2021-01-19,41.735477447509766,121.7586441040039
2021-01-20,41.881736755371094,121.13298797607422
2021-01-21,42.11402893066406,119.65876770019531
2021-01-22,41.7182731628418,118.78453826904297
2021-01-25,41.96776580810547,120.14728546142578
2021-01-26,42.406551361083984,121.53575897216797
2021-01-27,41.752681732177734,118.31311798095703
2021-01-28,42.28609848022461,119.29877471923828
2021-01-29,41.425750732421875,117.05319213867188
2021-02-01,41.70966720581055,117.40461730957031
2021-02-02,42.12262725830078,118.60452270507812
2021-02-03,41.959171295166016,118.2959976196289
2021-02-04,42.165645599365234,119.71878051757812
2021-02-05,42.716270446777344,120.81584167480469
2021-02-08,42.94856262207031,120.33584594726562
2021-02-09,42.75928497314453,119.65017700195312
2021-02-10,42.673255920410156,118.02172088623047
2021-02-11,43.27549362182617,115.68186950683594
2021-02-12,43.61103057861328,114.7390365600586
2021-02-16,43.249698638916016,115.1761703491211
2021-02-17,43.129249572753906,115.2447280883789
2021-02-18,43.67987060546875,116.02467346191406
2021-02-19,43.112037658691406,113.57340240478516
2021-02-22,43.55941390991211,113.12771606445312
2021-02-23,43.48198699951172,113.80480194091797
2021-02-24,43.62824249267578,113.21342468261719
2021-02-25,43.16365051269531,111.4220962524414
2021-02-26,42.1484489440918,110.72786712646484
2021-03-01,42.931365966796875,111.9534912109375
2021-03-02,43.10343933105469,112.33916473388672
2021-03-03,43.00019073486328,110.68498992919922
2021-03-04,42.96576690673828,111.3010025024414
2021-03-05,43.69707107543945,114.92951202392578
2021-03-08,44.42835998535156,114.15196990966797
2021-03-09,43.757293701171875,114.25563049316406
2021-03-10,44.25629806518555,115.40467834472656
2021-03-11,43.77450942993164,115.09366607666016
2021-03-12,43.6877555847168,114.93814849853516
2021-03-15,44.26898956298828,114.92951202392578
2021-03-16,44.433807373046875,115.77616882324219
